shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JUIN2312E2,45.55985266,-73.68231405,10
JUIN2312E2,45.55940753,-73.68318641,11
JUIN2312E2,45.55931728,-73.68335264,12
JUIN2312E2,45.55920491,-73.68353461,13
JUIN2312E2,45.55919098,-73.68355718,14
JUIN2312E2,45.55971193,-73.68414811,15
JUIN2312E2,45.55979549,-73.68398098,16
JUIN2312E2,45.55986539,-73.68384118,17
JUIN2312E2,45.56006391,-73.68349597,18
JUIN2312E2,45.56028963,-73.68302275,19
JUIN2312E2,45.56042506,-73.68274138,20
JUIN2312E2,45.56059654,-73.6824217,21
JUIN2312E2,45.56084012,-73.68202539,22
JUIN2312E2,45.56093041,-73.68183353,23
JUIN2312E2,45.56099358,-73.68171845,24
JUIN2312E2,45.56106577,-73.68159058,25
JUIN2312E2,45.56112896,-73.68146269,26
JUIN2312E2,45.56135465,-73.68100226,27
JUIN2312E2,45.56150529,-73.68071495,28
JUIN2312E2,45.56158932,-73.68055467,29
JUIN2312E2,45.56094265,-73.67978402,30
JUIN2312E2,45.5606283,-73.67941154,31
JUIN2312E2,45.56047559,-73.67924453,32
JUIN2312E2,45.56040372,-73.67916744,33
JUIN2312E2,45.56024203,-73.6789876,34
JUIN2312E2,45.56017015,-73.67892332,35
JUIN2312E2,45.56008029,-73.67884618,36
JUIN2312E2,45.55988256,-73.67869184,37
JUIN2312E2,45.5596938,-73.67856314,38
JUIN2312E2,45.55947808,-73.67840875,39
JUIN2312E2,45.55943313,-73.67838299,40
JUIN2312E2,45.55919039,-73.67824132,41
JUIN2312E2,45.5589297,-73.67807397,42
JUIN2312E2,45.55866003,-73.67789379,43
JUIN2312E2,45.5585163,-73.67773963,44
JUIN2312E2,45.55842648,-73.67763687,45
JUIN2312E2,45.5582917,-73.67750836,46
JUIN2312E2,45.5582712,-73.67746437,47
JUIN2312E2,45.55821995,-73.67735442,48
JUIN2312E2,45.55827402,-73.67730336,49
JUIN2312E2,45.55840914,-73.67721412,50
JUIN2312E2,45.55865239,-73.67702275,51
JUIN2312E2,45.55897665,-73.67681882,52
JUIN2312E2,45.55911178,-73.67671677,53
JUIN2312E2,45.55925593,-73.67660193,54
JUIN2312E2,45.55954419,-73.67639789,55
JUIN2312E2,45.55985045,-73.67619389,56
JUIN2312E2,45.56017431,-73.67593356,57
JUIN2312E2,45.5601838,-73.67592594,58
JUIN2312E2,45.56050817,-73.67564514,59
JUIN2312E2,45.5608326,-73.67532591,60
JUIN2312E2,45.56114804,-73.67500664,61
JUIN2312E2,45.56149052,-73.67464903,62
JUIN2312E2,45.56186904,-73.67426591,63
JUIN2312E2,45.56222054,-73.6738955,64
JUIN2312E2,45.56257201,-73.67353791,65
JUIN2312E2,45.5628965,-73.67318022,66
JUIN2312E2,45.56319391,-73.67287369,67
JUIN2312E2,45.56343717,-73.67266947,68
JUIN2312E2,45.56370739,-73.67249096,69
JUIN2312E2,45.56400459,-73.67232533,70
JUIN2312E2,45.56434681,-73.67213422,71
JUIN2312E2,45.56464397,-73.67199421,72
JUIN2312E2,45.56488709,-73.67187966,73
JUIN2312E2,45.5649681,-73.6718671,74
JUIN2312E2,45.56499513,-73.67184156,75
JUIN2312E2,45.56513026,-73.67173948,76
JUIN2312E2,45.5651463,-73.67173383,77
JUIN2312O1,45.56515354,-73.67173127,10
JUIN2312O1,45.5652383,-73.67170138,11
JUIN2312O1,45.56527425,-73.67172711,12
JUIN2312O1,45.56530115,-73.67179125,13
JUIN2312O1,45.56529198,-73.67190651,14
JUIN2312O1,45.56525591,-73.67195765,15
JUIN2312O1,45.56518394,-73.67194462,16
JUIN2312O1,45.56509403,-73.6718931,17
JUIN2312O1,45.56500407,-73.67188002,18
JUIN2312O1,45.5649681,-73.6718671,19
JUIN2312O1,45.56488709,-73.67187966,20
JUIN2312O1,45.56464397,-73.67199421,21
JUIN2312O1,45.56434681,-73.67213422,22
JUIN2312O1,45.56400459,-73.67232533,23
JUIN2312O1,45.56370739,-73.67249096,24
JUIN2312O1,45.56343717,-73.67266947,25
JUIN2312O1,45.56319391,-73.67287369,26
JUIN2312O1,45.5628965,-73.67318022,27
JUIN2312O1,45.56257201,-73.67353791,28
