shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
12E,45.559852,-73.68231,0
12E,45.559852,-73.68231,10
12E,45.559852,-73.68231,20
12E,45.559407,-73.68318,29
12E,45.559317,-73.68335,40
12E,45.559204,-73.68353,50
12E,45.559191,-73.68355,59
12E,45.559711,-73.68414,70
12E,45.559795,-73.68398,80
12E,45.559865,-73.68384,90
12E,45.560063,-73.68349,100
12E,45.560289,-73.68302,110
12E,45.560425,-73.68274,119
12E,45.560596,-73.68242,130
12E,45.56084,-73.68202,140
12E,45.56093,-73.68183,150
12E,45.560993,-73.68171,160
12E,45.561065,-73.68159,170
12E,45.561129,-73.68146,180
12E,45.561354,-73.681,190
12E,45.561505,-73.68071,200
12E,45.561589,-73.68055,210
12E,45.561147,-73.68002,220
12E,45.560942,-73.67978,230
12E,45.560628,-73.67941,239
12E,45.560475,-73.67924,250
12E,45.560403,-73.67916,260
12E,45.560242,-73.67898,270
12E,45.56017,-73.67892,280
12E,45.56008,-73.67884,290
12E,45.559882,-73.67869,300
12E,45.559693,-73.67856,310
12E,45.559496,-73.67842,320
12E,45.559478,-73.6784,330
12E,45.559433,-73.67838,340
12E,45.55919,-73.67824,350
12E,45.558929,-73.67807,360
12E,45.55866,-73.67789,370
12E,45.558516,-73.67773,380
12E,45.558426,-73.67763,390
12E,45.558291,-73.6775,400
12E,45.558271,-73.67746,410
12E,45.55822,-73.67735,420
12E,45.558274,-73.6773,430
12E,45.558409,-73.67721,440
12E,45.558652,-73.67702,449
12E,45.558976,-73.67681,460
12E,45.559111,-73.67671,470
12E,45.559255,-73.6766,479
12E,45.559544,-73.67639,490
12E,45.55985,-73.67619,500
12E,45.560174,-73.67593,510
12E,45.560183,-73.67592,520
12E,45.560508,-73.67564,530
12E,45.560832,-73.67532,540
12E,45.561148,-73.675,550
12E,45.56149,-73.67464,560
12E,45.561869,-73.67426,570
12E,45.56222,-73.67389,580
12E,45.562572,-73.67353,590
12E,45.562896,-73.67318,600
12E,45.563193,-73.67287,610
12E,45.563437,-73.67266,620
12E,45.563707,-73.67249,630
12E,45.564004,-73.67232,640
12E,45.564346,-73.67213,650
12E,45.564644,-73.67199,660
12E,45.564887,-73.67187,670
12E,45.564968,-73.67186,680
12E,45.564995,-73.67184,690
12E,45.56513,-73.67173,700
12E,45.565223,-73.6717,710
12E,45.565238,-73.6717,720
12E,45.565274,-73.67172,730
12E,45.565301,-73.67179,740
12E,45.565292,-73.67189,750
12E,45.565292,-73.6719,760
12E,45.565255,-73.67195,770
12E,45.565183,-73.67194,780
12E,45.56516,-73.67193,790
12E,45.56516,-73.67193,100000
12O,45.565157,-73.67192,0
12O,45.565157,-73.67192,10
12O,45.565094,-73.67189,20
12O,45.565004,-73.67188,29
12O,45.564968,-73.67186,40
12O,45.564887,-73.67187,50
12O,45.564644,-73.67199,59
12O,45.564346,-73.67213,70
12O,45.564004,-73.67232,80
12O,45.56397,-73.67234,90
12O,45.563707,-73.67249,100
12O,45.563437,-73.67266,110
12O,45.563193,-73.67287,119
12O,45.562957,-73.67311,130
12O,45.562896,-73.67318,140
12O,45.562572,-73.67353,150
12O,45.56222,-73.67389,160
12O,45.562123,-73.67399,170
12O,45.561869,-73.67426,180
12O,45.56149,-73.67464,190
12O,45.5613,-73.67484,200
12O,45.561148,-73.675,210
12O,45.560832,-73.67532,220
12O,45.560508,-73.67564,230
12O,45.560183,-73.67592,239
12O,45.55985,-73.67619,250
12O,45.559793,-73.67623,260
12O,45.559544,-73.67639,270
12O,45.559255,-73.6766,280
12O,45.559111,-73.67671,290
12O,45.558976,-73.67681,300
12O,45.558652,-73.67702,310
12O,45.558551,-73.6771,320
12O,45.558409,-73.67721,330
12O,45.558351,-73.67725,340
12O,45.558274,-73.6773,350
12O,45.55822,-73.67735,360
12O,45.558291,-73.6775,370
12O,45.558426,-73.67763,380
12O,45.558516,-73.67773,390
12O,45.55866,-73.67789,400
12O,45.558929,-73.67807,410
12O,45.55919,-73.67824,420
12O,45.559361,-73.67834,430
12O,45.559433,-73.67838,440
12O,45.559478,-73.6784,449
12O,45.559693,-73.67856,460
12O,45.559822,-73.67865,470
12O,45.559882,-73.67869,479
12O,45.56008,-73.67884,490
12O,45.56017,-73.67892,500
12O,45.560242,-73.67898,510
12O,45.560403,-73.67916,520
12O,45.560475,-73.67924,530
12O,45.560628,-73.67941,540
12O,45.560912,-73.67974,550
12O,45.560942,-73.67978,560
12O,45.561589,-73.68055,570
12O,45.561643,-73.6806,580
12O,45.561706,-73.68067,590
12O,45.561579,-73.68088,600
12O,45.561444,-73.6811,610
12O,45.561146,-73.6817,620
12O,45.561083,-73.68184,630
12O,45.560785,-73.68239,640
12O,45.560541,-73.68284,650
12O,45.560406,-73.68312,660
12O,45.560336,-73.68306,670
12O,45.560289,-73.68302,680
12O,45.560208,-73.68294,690
12O,45.560154,-73.68288,700
12O,45.55992,-73.68332,710
12O,45.559793,-73.68355,720
12O,45.559775,-73.68358,730
12O,45.559721,-73.68357,740
12O,45.55965,-73.68352,750
12O,45.559612,-73.68346,760
12O,45.559596,-73.68344,770
12O,45.559596,-73.68337,780
12O,45.559832,-73.68292,790
12O,45.560019,-73.68256,100000
144E,45.532366,-73.82355,0
144E,45.532317,-73.82349,10
144E,45.530967,-73.82209,20
144E,45.530908,-73.82203,29
144E,45.530899,-73.82201,40
144E,45.530621,-73.8217,50
144E,45.53037,-73.82145,59
144E,45.530056,-73.82114,70
144E,45.529849,-73.82102,80
144E,45.529248,-73.82056,90
144E,45.529121,-73.82094,100
144E,45.52906,-73.82113,110
144E,45.528975,-73.8214,119
144E,45.528921,-73.82157,130
144E,45.528526,-73.82121,140
144E,45.528221,-73.82092,150
144E,45.528069,-73.82077,160
144E,45.527772,-73.82047,170
144E,45.527386,-73.82007,180
144E,45.527152,-73.81984,190
144E,45.526673,-73.81936,200
144E,45.526624,-73.81931,210
144E,45.526274,-73.81897,220
144E,45.526103,-73.81879,230
144E,45.525529,-73.81821,239
144E,45.524464,-73.81709,250
144E,45.524353,-73.81697,260
144E,45.524282,-73.81689,270
144E,45.524237,-73.81685,280
144E,45.523627,-73.81625,290
144E,45.522612,-73.81525,300
144E,45.52255,-73.81519,310
144E,45.522523,-73.81517,320
144E,45.522514,-73.81515,330
144E,45.521841,-73.81447,340
144E,45.520917,-73.81353,350
144E,45.520908,-73.81352,360
144E,45.52066,-73.81329,370
144E,45.52062,-73.81325,380
144E,45.520588,-73.81323,390
144E,45.520567,-73.81321,400
144E,45.520414,-73.81316,410
144E,45.520414,-73.81308,420
144E,45.520397,-73.81262,430
144E,45.520381,-73.81211,440
144E,45.520356,-73.81137,449
144E,45.520336,-73.81105,460
144E,45.520295,-73.81037,470
144E,45.520251,-73.81007,479
144E,45.520234,-73.80982,490
144E,45.520082,-73.80923,500
144E,45.520083,-73.8092,510
144E,45.520003,-73.80877,520
144E,45.519843,-73.80811,530
144E,45.519613,-73.80733,540
144E,45.519593,-73.80727,550
144E,45.519557,-73.80716,560
144E,45.519513,-73.807,570
144E,45.519423,-73.80678,580
144E,45.519361,-73.80656,590
144E,45.519245,-73.80609,600
144E,45.519192,-73.80575,610
144E,45.519103,-73.80522,620
144E,45.519059,-73.80493,630
144E,45.518998,-73.80443,640
144E,45.518907,-73.80353,650
144E,45.518901,-73.80347,660
144E,45.518892,-73.80335,670
144E,45.518858,-73.80274,680
144E,45.518841,-73.80253,690
144E,45.518814,-73.80233,700
144E,45.51877,-73.80183,710
144E,45.518753,-73.80167,720
144E,45.518735,-73.80149,730
144E,45.518701,-73.80107,740
144E,45.518697,-73.80091,750
144E,45.518692,-73.80075,760
144E,45.518693,-73.80039,770
144E,45.518685,-73.80009,780
144E,45.518686,-73.79982,790
144E,45.518651,-73.79956,800
144E,45.518606,-73.79924,810
144E,45.518527,-73.79865,820
144E,45.518495,-73.79838,830
144E,45.518474,-73.7982,840
144E,45.518439,-73.79797,850
144E,45.518386,-73.79765,860
144E,45.518332,-73.79731,869
144E,45.518217,-73.79679,880
144E,45.518128,-73.79637,890
144E,45.517977,-73.79576,899
144E,45.517896,-73.79546,910
144E,45.517834,-73.79503,920
144E,45.5178,-73.79457,929
144E,45.517778,-73.79432,940
144E,45.517765,-73.79416,950
144E,45.517784,-73.79375,959
144E,45.517812,-73.79338,970
144E,45.51784,-73.79288,980
144E,45.517877,-73.79245,990
144E,45.517896,-73.79192,1000
144E,45.517908,-73.7917,1010
144E,45.517915,-73.79156,1020
144E,45.517952,-73.79133,1030
144E,45.51797,-73.7911,1040
144E,45.518044,-73.79064,1050
144E,45.518126,-73.7902,1060
144E,45.51819,-73.78986,1070
144E,45.518244,-73.78954,1080
144E,45.518272,-73.78938,1090
144E,45.518372,-73.78892,1100
144E,45.518427,-73.78862,1110
144E,45.518499,-73.78833,1120
144E,45.518618,-73.78787,1130
144E,45.518694,-73.78742,1140
144E,45.518727,-73.78723,1150
144E,45.518791,-73.787,1160
144E,45.518837,-73.78668,1170
144E,45.518873,-73.78635,1180
144E,45.518892,-73.78591,1190
144E,45.518938,-73.7855,1200
144E,45.519011,-73.78517,1210
144E,45.519075,-73.7849,1220
144E,45.519157,-73.78466,1230
144E,45.519262,-73.78441,1240
144E,45.519274,-73.78438,1250
144E,45.51931,-73.78428,1260
144E,45.519356,-73.78416,1270
144E,45.519645,-73.7836,1280
144E,45.519763,-73.78332,1290
144E,45.519826,-73.7831,1300
144E,45.519899,-73.78283,1310
144E,45.51999,-73.78251,1320
144E,45.520053,-73.78231,1330
144E,45.520126,-73.78213,1340
144E,45.52018,-73.78198,1350
144E,45.520249,-73.78181,1360
144E,45.520325,-73.78163,1370
144E,45.520397,-73.78148,1380
144E,45.520542,-73.7812,1390
144E,45.520587,-73.78109,1400
144E,45.520599,-73.78106,1410
144E,45.520641,-73.78095,1420
144E,45.520705,-73.78071,1430
144E,45.520773,-73.78046,1440
144E,45.520814,-73.78032,1450
144E,45.520841,-73.78024,1460
144E,45.520895,-73.78029,1470
144E,45.520985,-73.78034,1480
144E,45.521218,-73.78051,1490
144E,45.521452,-73.78073,1500
144E,45.521658,-73.78092,1510
144E,45.522178,-73.78144,1520
144E,45.522193,-73.78146,1530
144E,45.522502,-73.78177,1540
144E,45.522538,-73.78164,1550
144E,45.522846,-73.78077,1560
144E,45.523037,-73.7802,1569
144E,45.523327,-73.77947,1580
144E,45.523426,-73.7792,1590
144E,45.524115,-73.77722,1600
144E,45.524305,-73.77675,1610
144E,45.524885,-73.77516,1620
144E,45.525048,-73.77475,1629
144E,45.525311,-73.77394,1640
144E,45.525491,-73.77347,1650
144E,45.525609,-73.77317,1660
144E,45.525718,-73.77289,1670
144E,45.525827,-73.77257,1680
144E,45.52589,-73.77231,1689
144E,45.525972,-73.7719,1700
144E,45.526045,-73.77144,1710
144E,45.526147,-73.77033,1720
144E,45.52621,-73.76974,1730
144E,45.52623,-73.76955,1739
144E,45.526239,-73.7694,1750
144E,45.526369,-73.76799,1760
144E,45.526483,-73.76663,1770
144E,45.526517,-73.76622,1780
144E,45.526554,-73.76579,1790
